,Year,JFM,MAM,JJA,,OND,high_mean_percent_anom,high_med_percent_anom,high_stdev_percent_anom
pred_summer_anpp,1950,-1.3,-1.2,-0.5,,,4.885413932,4.993859393,23.28412077
pred_summer_anpp,1951,-0.5,0.2,0.7,1951,-0.6,-17.90950578,-20.9100838,25.02332041
pred_summer_anpp,1952,0.4,0.3,-0.1,1952,1,-9.43969534,-8.87947748,14.93391665
pred_summer_anpp,1953,0.6,0.7,0.7,1953,0,-16.92027634,-15.81464362,14.14567732
pred_summer_anpp,1954,0.5,-0.4,-0.6,1954,0.8,-8.934229904,-11.77856129,22.2968213
pred_summer_anpp,1955,-0.6,-0.8,-0.7,1955,-0.7,7.916185307,5.308440552,27.35768004
pred_summer_anpp,1956,-0.8,-0.5,-0.6,1956,-1.7,-25.54185247,-25.10256404,14.04035747
pred_summer_anpp,1957,0.1,0.7,1.3,1957,-0.4,2.183759156,2.674569934,26.13595213
pred_summer_anpp,1958,1.7,0.9,0.6,1958,1.5,-2.259356475,-4.759685847,19.50187842
pred_summer_anpp,1959,0.6,0.3,-0.2,1959,0.5,13.09169519,11.71542303,19.55564164
pred_summer_anpp,1960,-0.1,0,0.1,1960,0,3.769590429,-3.496540888,37.82308749
pred_summer_anpp,1961,0,0.1,0.1,1961,0.1,-0.558952513,-1.288353402,21.10000854
pred_summer_anpp,1962,-0.2,-0.3,0,1962,-0.2,-13.33142325,-13.94035108,22.43248321
pred_summer_anpp,1963,-0.2,0.3,0.9,1963,-0.3,-4.077076048,-5.337682593,16.76737653
pred_summer_anpp,1964,0.6,-0.3,-0.6,1964,1.4,-20.6547261,-24.30552347,21.50478503
pred_summer_anpp,1965,-0.3,0.2,1.2,1965,-0.8,2.363713648,1.894122763,22.63535312
pred_summer_anpp,1966,1.2,0.7,0.2,1966,2,17.24500431,15.62289847,21.55855086
pred_summer_anpp,1967,-0.5,-0.4,0,1967,-0.2,18.86910843,19.89267054,19.54873779
pred_summer_anpp,1968,-0.7,-0.4,0.6,1968,-0.3,4.726243734,1.249330513,19.7563931
pred_summer_anpp,1969,1.1,0.8,0.4,1969,0.7,0.871779811,1.114367499,19.36274003
pred_summer_anpp,1970,0.3,0.2,-0.6,1970,0.8,-10.35076582,-10.73137082,15.30606189
pred_summer_anpp,1971,-1.4,-0.8,-0.8,1971,-0.9,0.934728336,0.367430726,20.23345774
pred_summer_anpp,1972,-0.4,0.4,1.1,1972,-1,21.03413433,19.00274794,24.6784134
pred_summer_anpp,1973,1.2,-0.1,-1.1,1973,2.1,-11.71036871,-11.649809,14.94211888
pred_summer_anpp,1974,-1.6,-1,-0.5,1974,-1.9,-5.033668903,-5.839930967,21.11753778
pred_summer_anpp,1975,-0.6,-0.7,-1.1,1975,-0.8,-13.56931036,-12.35733114,20.20111599
pred_summer_anpp,1976,-1.2,-0.5,0.2,1976,-1.6,-13.86014531,-11.37676086,15.26763475
pred_summer_anpp,1977,0.6,0.2,0.4,1977,0.9,-0.100340048,0.529121588,17.43012446
pred_summer_anpp,1978,0.4,-0.2,-0.4,1978,0.8,-12.0269263,-14.13390917,21.80621561
pred_summer_anpp,1979,0.1,0.3,0,1979,-0.1,8.428591792,6.202388058,20.91917781
pred_summer_anpp,1980,0.5,0.4,0.3,1980,0.5,-27.95808362,-26.80662668,16.19201543
pred_summer_anpp,1981,-0.5,-0.4,-0.3,1981,0.1,13.87707318,11.04085822,21.65971568
pred_summer_anpp,1982,0.1,0.5,0.8,1982,-0.2,-8.446803531,-9.486468522,18.71325929
pred_summer_anpp,1983,1.9,1.3,0.3,1983,2.2,-18.89179583,-24.22387117,22.78751602
pred_summer_anpp,1984,-0.4,-0.4,-0.3,1984,-1,37.50203757,27.90163285,41.47388057
pred_summer_anpp,1985,-0.8,-0.8,-0.5,1985,-0.9,-4.271318922,-4.017095933,13.55079278
pred_summer_anpp,1986,-0.5,-0.2,0.2,1986,-0.3,32.20293027,29.17326767,23.90405058
pred_summer_anpp,1987,1.2,0.9,1.5,1987,1.1,7.907224747,6.499028622,18.99497246
pred_summer_anpp,1988,0.5,-0.3,-1.3,1988,1.3,31.74205892,31.83874158,19.12406535
pred_summer_anpp,1989,-1.4,-0.8,-0.3,1989,-1.8,-6.656317735,-7.658187836,16.19513114
pred_summer_anpp,1990,0.2,0.3,0.3,1990,-0.2,14.99066306,8.622531979,31.80096349
pred_summer_anpp,1991,0.3,0.3,0.7,1991,0.4,16.68511467,18.9355518,25.13033891
pred_summer_anpp,1992,1.6,1.3,0.4,1992,1.2,4.756285799,0.414030811,20.18460825
pred_summer_anpp,1993,0.3,0.7,0.3,1993,-0.3,5.607195064,6.949689703,18.10775519
pred_summer_anpp,1994,0.1,0.3,0.4,1994,0,-23.39712431,-23.00791075,17.96221656
pred_summer_anpp,1995,0.7,0.3,-0.2,1995,1,-17.03833853,-17.55683497,16.10626139
pred_summer_anpp,1996,-0.8,-0.4,-0.3,1996,-1,22.31013173,23.87141407,21.11516886
pred_summer_anpp,1997,-0.4,0.3,1.6,1997,-0.4,4.027147493,3.330502784,18.7784509
pred_summer_anpp,1998,1.9,1,-0.8,1998,2.4,-7.9038519,-7.369848472,19.63618374
pred_summer_anpp,1999,-1.3,-1,-1.1,1999,-1.5,31.8885915,31.09118313,24.47089173
pred_summer_anpp,2000,-1.4,-0.8,-0.6,2000,-1.5,8.698218168,1.643206293,25.19136041
pred_summer_anpp,2001,-0.5,-0.3,-0.1,2001,-0.7,-2.831120145,-6.113069259,25.10985436
pred_summer_anpp,2002,0,0.2,0.8,2002,-0.3,-11.71178097,-12.67231409,20.22714066
pred_summer_anpp,2003,0.6,0,0.1,2003,1.3,-21.42195774,-23.66073718,20.46863461
pred_summer_anpp,2004,0.3,0.2,0.5,2004,0.4,3.538845124,2.607813105,20.04931902
pred_summer_anpp,2005,0.6,0.4,-0.1,2005,0.7,-10.43046416,-10.89544731,19.92479675
pred_summer_anpp,2006,-0.8,-0.4,0.1,2006,-0.6,37.51451368,29.29042337,37.77497185
pred_summer_anpp,2007,0.2,-0.3,-0.6,2007,0.9,4.003135109,1.59636341,22.06095149
pred_summer_anpp,2008,-1.5,-1,-0.4,2008,-1.5,26.96455688,20.28666535,30.1085894
pred_summer_anpp,2009,-0.8,-0.3,0.5,2009,-0.6,-5.245511148,-7.487186266,22.10707877
pred_summer_anpp,2010,1.2,0.4,-1,2010,1.4,8.612251008,8.045545479,21.76620768
pred_summer_anpp,2011,-1.2,-0.7,-0.5,2011,-1.6,-14.99424819,-13.7385996,24.45911866
pred_summer_anpp,2012,-0.7,-0.5,0.2,2012,-1.1,-18.35903292,-22.33584994,19.01566931
pred_summer_anpp,2013,-0.4,-0.3,-0.4,2013,0.1,9.542985058,6.410293985,20.26938265
pred_summer_anpp,2014,-0.5,0,0,2014,-0.2,5.02327316,2.720162028,21.2485048
pred_summer_anpp,2015,0.5,0.7,1.5,2015,0.6,10.05658396,9.03154631,20.52474364
pred_summer_anpp,2016,2.1,0.9,-0.4,2016,2.6,-6.663367279,-9.364295214,17.13817818
pred_summer_anpp,2017,-0.2,0.2,0.1,2017,-0.7,5.74384258,4.05751634,16.39653336
pred_summer_anpp,2018,-0.9,-0.5,0.1,2018,-0.8,-2.826483199,-4.311348021,19.13559969
pred_summer_anpp,2019,0.7,0.7,0.3,2019,0.9,-22.78650599,-22.62509333,16.34827586
pred_summer_anpp,2020,0.5,0.2,-0.4,2020,0.5,-31.40188134,-29.27913288,15.92351357